PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Repeated sucessfully (out of two attempts)
RESULT_TYPE,,,,,,,STRING
RESULT_UNIT,,,,,,,NONE
502,22410010,2504528,Inactive,10,,,
503,22410424,135401252,Inactive,10,,,
504,22410624,2421275,Inactive,10,,,
505,22410691,135401274,Inactive,10,,,
506,22410769,2338052,Inactive,10,,,
507,22410863,2546373,Inactive,10,,,
508,22411124,2081462,Inactive,10,,,
509,22411261,4054926,Inactive,10,,,
510,22411292,135401302,Inactive,10,,,
511,22411408,4570895,Inactive,10,,,
512,22411452,4213399,Inactive,10,,,
513,22411814,848608,Inactive,10,,,
514,22411837,6198703,Inactive,10,,,
515,22411988,21157818,Inactive,10,,,
516,22412138,6875051,Inactive,10,,,
517,22412172,3432423,Inactive,10,,,
518,22412194,3396520,Inactive,10,,,
519,22412261,9617814,Inactive,10,,,
520,22412321,850148,Inactive,10,,,
521,22412491,981621,Inactive,10,,,
522,22412551,1220672,Inactive,10,,,
523,22412704,4158063,Inactive,10,,,
524,22412824,5822222,Inactive,10,,,
525,22412872,1752653,Inactive,10,,,
526,22413081,519663,Inactive,10,,,
527,22413196,15945687,Inactive,10,,,
528,22413256,902193,Inactive,10,,,
529,22413346,832069,Inactive,10,,,
530,22413611,3682589,Inactive,10,,,
531,22413793,9710824,Inactive,10,,,
532,22413822,992968,Inactive,10,,,
533,22413921,13581664,Inactive,10,,,
534,22414110,135401426,Inactive,10,,,
535,22414139,838931,Inactive,10,,,
536,22414237,135401433,Inactive,10,,,
537,22414239,135401434,Inactive,10,,,
538,22414272,4126024,Inactive,10,,,
539,22414319,1791779,Inactive,10,,,
540,22414380,1219551,Inactive,10,,,
541,22414502,5284827,Inactive,10,,,
542,22414504,135401441,Inactive,10,,,
543,22414732,54688245,Inactive,10,,,
544,22414796,6182613,Inactive,10,,,
545,22414921,1227377,Inactive,10,,,
546,22414943,135401468,Inactive,10,,,
547,22414991,9654636,Inactive,10,,,
548,22415012,135401471,Inactive,10,,,
549,22415069,54711863,Inactive,10,,,
550,22415085,851958,Inactive,10,,,
551,22415150,2175559,Inactive,10,,,
552,22415717,1581717,Inactive,10,,,
553,22416620,2966040,Inactive,10,,,
554,22416671,2966178,Inactive,10,,,
555,22416791,5347983,Inactive,10,,,
556,22416824,2891737,Inactive,10,,,
557,22416843,970760,Inactive,10,,,
558,22416931,3813856,Inactive,10,,,
559,22416967,6898209,Inactive,10,,,
560,24785328,4108280,Inactive,10,,,
561,24786404,4172489,Inactive,10,,,
562,24787363,3999223,Inactive,10,,,
563,24795806,2936125,Inactive,10,,,
564,24795875,2954454,Inactive,10,,,
565,24807302,3140495,Inactive,10,,,
566,24809135,231556,Inactive,10,,,
567,24814883,135472793,Inactive,10,,,
568,24821368,4638553,Inactive,10,,,
569,24823068,135439710,Inactive,10,,,
570,24824082,3611,Inactive,10,,,
571,24824556,5817112,Inactive,10,,,
572,24826312,135439848,Inactive,10,,,
573,24829591,700360,Inactive,10,,,
574,24832054,2464546,Inactive,10,,,
575,24832098,4961669,Inactive,10,,,
576,24834908,5095822,Inactive,10,,,
577,24835280,135519955,Inactive,10,,,
578,24835365,5201260,Inactive,10,,,
579,24836534,2368571,Inactive,10,,,
580,24837012,135520027,Inactive,10,,,
581,24837054,135520033,Inactive,10,,,
582,24840714,2341783,Inactive,10,,,
583,26729549,2807928,Inactive,10,,,
584,46501113,23641023,Inactive,10,,,
585,47193427,23723028,Inactive,10,,,
586,47196669,976171,Inactive,10,,,
587,47198718,2986350,Inactive,10,,,
588,47200416,795568,Inactive,10,,,
589,47202972,2922086,Inactive,10,,,
590,47203006,135411765,Inactive,10,,,
591,49640919,1080077,Inactive,10,,,
592,49642442,1725045,Inactive,10,,,
593,49642534,3136121,Inactive,10,,,
594,49642778,155290,Inactive,10,,,
595,49642997,3132202,Inactive,10,,,
596,49643012,3129244,Inactive,10,,,
597,49644946,2876744,Inactive,10,,,
598,49644997,2872206,Inactive,10,,,
599,49645961,3129253,Inactive,10,,,
600,49673617,2708827,Inactive,10,,,
601,49674207,2462609,Inactive,10,,,
602,49677463,16807549,Inactive,10,,,
603,49713825,135693581,Inactive,10,,,
604,49715235,16008764,Inactive,10,,,
605,49717277,4139234,Inactive,10,,,
606,49718310,24790089,Inactive,10,,,
607,49718516,24790240,Inactive,10,,,
608,49718635,24790359,Inactive,10,,,
609,49720932,20885691,Inactive,10,,,
610,49722213,16019231,Inactive,10,,,
611,49722263,22550802,Inactive,10,,,
612,49724879,9725965,Inactive,10,,,
613,49727597,3164211,Inactive,10,,,
614,49730838,20920359,Inactive,10,,,
615,49732296,24793084,Inactive,10,,,
616,49732508,24793194,Inactive,10,,,
617,49732756,135488395,Inactive,10,,,
618,49735115,6622549,Inactive,10,,,
619,49735959,22512858,Inactive,10,,,
620,49736318,24793745,Inactive,10,,,
621,49737281,2929885,Inactive,10,,,
622,49815831,22334709,Inactive,10,,,
623,49816559,2971575,Inactive,10,,,
624,49816810,8103,Inactive,10,,,
625,49817273,6884223,Inactive,10,,,
626,49818222,7943589,Inactive,10,,,
627,49818651,24817586,Inactive,10,,,
628,49818738,24817661,Inactive,10,,,
629,49818861,896456,Inactive,10,,,
630,49819261,24817814,Inactive,10,,,
631,49819981,24240011,Inactive,10,,,
632,49820241,24687355,Inactive,10,,,
633,49820975,7535285,Inactive,10,,,
634,49821830,6465210,Inactive,10,,,
635,49824836,5916900,Inactive,10,,,
636,49825695,6467008,Inactive,10,,,
637,49826371,24819318,Inactive,10,,,
638,49826435,6470717,Inactive,10,,,
639,49827931,18266728,Inactive,10,,,
640,49828272,4869556,Inactive,10,,,
641,49829270,16405646,Inactive,10,,,
642,50086433,9613554,Inactive,10,,,
643,51085259,18554245,Inactive,10,,,
644,51087105,24892192,Inactive,10,,,
645,51089060,16833702,Inactive,10,,,
646,51089109,18575102,Inactive,10,,,
647,51089216,7501725,Inactive,10,,,
648,51090367,24892606,Inactive,10,,,
649,56315313,24978938,Inactive,10,,,
650,56315552,4857235,Inactive,10,,,
651,56315740,16333851,Inactive,10,,,
652,56316430,7921513,Inactive,10,,,
653,56316506,7675641,Inactive,10,,,
654,56316969,18080804,Inactive,10,,,
655,56316984,24687072,Inactive,10,,,
656,56317103,24687251,Inactive,10,,,
657,56317330,16499261,Inactive,10,,,
658,56317576,24979923,Inactive,10,,,
659,56319139,24980639,Inactive,10,,,
660,56319912,24981049,Inactive,10,,,
661,56322170,24981967,Inactive,10,,,
