smile,training_smile,hit,similarity
C[C@]12CCC3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@@H]1CCC2=O,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O,0,1.0
NC(=O)c1cccc(N)c1,C1=CC(=CC(=C1)N)C(=O)NCCNC(=O)C2=CC(=CC=C2)N,0,0.657243816254417
OCCCNc1ccccc1,C1=CC=C(C=C1)NCCCNC2=CC=CC=C2,0,0.7846153846153846
C=CCN1CCN(CC1)c1nc2ccccc2nc1C#N,CC1=NC2=CC=CC=C2N=C1N3CCCC3,0,0.7222222222222222
[O-][N+](=O)c1cccc2c(Br)n[nH]c12,C1=CC2=C(C(=C1)[N+](=O)[O-])NN=C2,0,0.7532258064516129
CC1(C)C2CCC1(C)C(=O)C2Br,CCNC(=O)C12CCC(C1(C)C)(C(=O)C2Br)C,0,0.5234899328859061
OC(=O)C(=O)CBr,C(CC(=O)O)CN,0,0.275
N[C@@H](C(O)=O)c1ccc(O)c(c1)C(O)=O,CC(=O)C1=CC(=C(C=C1)O)CO,0,0.5038610038610039
N[C@H](C(O)=O)c1ccc(O)c(c1)C(O)=O,CC(=O)C1=CC(=C(C=C1)O)CO,0,0.5038610038610039
CN1C2CCC1CC(C2)OC(c1ccccc1)c1ccc(Cl)cc1,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O,0,0.8901734104046243
Nc1nccc2n(cnc12)[C@@H]1O[C@H](CO)C(O)C1O,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,0,0.7076547231270358
Nc1nccc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,CC1(OC2C(OC(C2O1)N3C=NC4=C(N=CN=C43)NC(=O)OC(C)(C)C)CO)C,0,0.49557522123893805
OCC1OC(C(O)C1O)N1C=CC(=O)CC1=O,CCC(=O)NC1C(C(C(C(O1)CO)O)O)O,0,0.545045045045045
CCC(O)(CC(N)=O)c1ccccc1,CCC(CCN1CCCCC1)(C2=CC=CC=C2)O,0,0.6111111111111112
OC(=O)CCCc1c[nH]c2ccccc12,CCOC(=O)CCCC1=CNC2=CC=CC=C21,0,0.9415730337078652
Cc1cc(sc1C(N)C(O)=O)C(O)=O,C1CCC2=C(C1)C=C(S2)C(=O)O,0,0.5220588235294118
CC(CN)CC(O)=O,CC(C)(CC(=O)O)CN.Cl,0,0.7875
Cn1cnc(=N)c2nc[nH]c12,CC(C)SC1=NC2=C(N1)C(=N)N=CN2CC3=CC=CC=C3,0,0.5474794841735052
COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c4ccccc4[nH]c3c2=O)CC1,C1CN(CCN1)CCN2C=NC3=C(C2=O)NC4=CC=CC=C43,0,0.7390909090909091
Clc1cccc(c1)\C=N\N=C\c1cccc(Cl)c1,C1=CC(=C(C=C1/C=N/N=C(N)N)Cl)Cl,0,0.6753246753246753
C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,C1=CC=C(C=C1)CC2=CNC3=CC=CC=C32,0,0.9517766497461929
NC(C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O,CC1=CC(=CC(=C1C(=O)O)C)C(C)(C)C,0,0.47761194029850745
N[C@@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O,CC1=CC(=CC(=C1C(=O)O)C)C(C)(C)C,0,0.47761194029850745
N[C@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O,CC1=CC(=CC(=C1C(=O)O)C)C(C)(C)C,0,0.47761194029850745
N[C@H](C(O)=O)c1cc(O)cc(O)c1,COC1=C(C=C(C=C1)CC(=O)O)O,0,0.5143603133159269
Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1cccc(F)c1)C2=O)c1ccccc1,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,0,0.7823315118397086
O=C(\C=C\c1cccnc1)c1ccncc1,C1=CC(=CN=C1)/C=C/C(=O)C2=CC=C(C=C2)O,0,0.6692307692307692
Fc1ccc(cc1)C(=O)C1CCN(CCCCc2ccccc2)CC1,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCCC(=O)C3=CC=C(C=C3)F,0,1.0
CC(=O)N1CC[N+](C)(C)CC1,CCC(=O)NCCN1CCN(CC1)C(=O)CC,0,0.6712328767123288
Nc1ccc(cc1)C(=O)NCC(O)=O,CCOC(=O)CNC(=O)C1=CC=CC=C1,0,0.7198697068403909
NC(C(O)=O)c1ccc(C(O)=O)c(O)c1,CC(C1=CC(=CC=C1)OCC2=CC(=CC=C2)Cl)(C(=O)O)N,0,0.49698795180722893
N[C@H](C(O)=O)c1ccc(C(O)=O)c(O)c1,CC(C1=CC(=CC=C1)OCC2=CC(=CC=C2)Cl)(C(=O)O)N,0,0.49698795180722893
NC(=N)Nc1ccc(Cl)cc1,C1=CC(=CC=C1NC(=O)N)Cl,0,0.6305418719211823
CC(C)C(C(=O)Nc1nccs1)c1ccc(Cl)cc1,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)NC2=NC=CS2,0,1.0
C[N+]1(C)CCC(CC1)OC(=O)C(c1ccccc1)c1ccccc1,CN1CCC(CC1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl,0,0.9701149425287356
OC[C@H]1O[C@@H](O[C@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O,0,1.0
Oc1ncnc2ccccc12,C1=CC=C(C=C1)OCCOC2=NC=NC3=CC=CC=C32,0,0.6435845213849287
Cc1c(O)c(=O)n(-c2ccccc2)n1C,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C=O,0,0.6545086119554204
Ic1ccc(cc1)C(=O)NC1CCN(Cc2ccccc2)CC1,C1CN(CCC1NC(=O)C2=CC=CC=C2)CC3=CC=CC=C3,0,0.8733509234828496
Ic1cc(ncn1)-c1ccccc1,C1=CC=C(C=C1)C2=CC(=NC(=N2)Cl)C3=CC=CC=C3,0,0.5531914893617021
N[C@H](Cc1ccc(I)cc1)C(O)=O,C1=CC=C(C=C1)CC(C(=O)O)NC=O,0,0.6258064516129033
COc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,0,1.0
Cc1nc[nH]c1CCN,C1=C(NC=N1)CCN.Cl,0,0.7151515151515152
Cc1cc(=O)oc2c(C=O)c(O)ccc12,CC1=CC(=O)OC2=C1C=CC(=C2C)OC,0,0.8318840579710145
CCC(=O)NC1CC(c2ccccc2)c2ccccc2C1,C1CC2=CC(=C(C=C2[C@@H]3[C@@H]1NCC4=CC=CC=C34)O)O.O.Cl,0,0.5823798627002288
Oc1ccc(cc1)S(O)(=O)=O,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)O,0,0.48013245033112584
Cl.C1NCc2ccccc2C1c1ccccc1,C1C(C2=C(CN1)C3=CC=CC=C3C=C2)C4=CC=CC=C4.Br,0,0.7936210131332082
C(CCc1ccccc1)CN1CCC(CC1)c1ccccc1,CCCCC(CN1CCC(CC1)C2=CC=CC=C2)O,0,0.7188498402555911
CCCc1ccc(cc1)C(O)=O,CCC1=CC=C(C=C1)C(=O)O,0,0.88268156424581
N#Cc1ccncn1,CC1=CC(=S)NC(=S)N1,0,0.321285140562249
CC(C)(C)c1ccc(O)cc1,C1=CC(=CC=C1CCN)O,0,0.6583850931677019
C1CCC2(CC1)CCNCC2,C1C2CC3CC1CC(C2)(C3)CNCCO,0,0.5925925925925926
Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,C1=CC(=CC=C1C(CN)(C2=CC=C(C=C2)Cl)O)Cl.Cl,0,0.4674698795180723
Brc1c(Br)c(Br)c2[nH]nnc2c1Br,COC1=CC=C(C=C1)N2N=C3C=C(C(=CC3=N2)Br)N,0,0.36439499304589706
NS(=O)(=O)c1ccc2NC(C3CC=CC3c2c1)c1ccc(Br)cc1,COC1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)N[C@@H]([C@H]4[C@@H]3C=CC4)C5=CC=C(C=C5)C(=O)O,0,0.8429054054054054
OC(=O)c1ccc(cc1)N1C(=O)C(\C=C1c1ccccc1)=C\c1ccc(o1)-c1ccc(cc1)[N+]([O-])=O,C1=CC=C(C=C1)C2=C/C(=C\C3=CC=C(O3)C4=CC=C(C=C4)[N+](=O)[O-])/C(=O)N2C5=CC=C(C=C5)C(=O)O,0,1.0
OC(=O)C(\Cc1ccccc1[N+]([O-])=O)=N\Nc1nc(cs1)-c1ccc(Cl)c(Cl)c1,CCOC(=O)/C(=N/NC1=NC(=CS1)C2=CC=C(C=C2)NC(=O)C)/C.Br,0,0.5429389312977099
Cn1cc(cn1)-c1ccc(cc1)S(=O)(=O)n1ccc(\C=C\C(=O)Nc2ccccc2N)c1,CN(C)/C=C/C(=O)C1=CN(C=C1)S(=O)(=O)C2=CC=CC=C2,0,0.4768339768339768
CCn1c(O)nnc1-c1ccc(Cl)cc1,CCN1C(=NNC1=S)C2=CC=C(C=C2)Cl,0,0.6326219512195121
Nc1nc2n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c(=O)sc2c(=O)[nH]1,C1=CC=C(C(=C1)CSC2=NC3=C(N2C4C(C(C(O4)CO)O)O)N=C(NC3=O)N)Br,0,0.66548463356974
NCC(=O)CCC(O)=O,COC(=O)CCC(=O)CN.Cl,0,0.7567567567567568
